event_id,bracket_bundle_id,attempts,last_failed
11127,732654,1,2025-03-20
11127,732702,1,2025-03-20
11127,732707,1,2025-03-20
11127,732663,1,2025-03-20
11127,732613,1,2025-03-20
11127,732706,1,2025-03-20
11127,732661,1,2025-03-20
11127,732692,1,2025-03-20
11127,732687,1,2025-03-20
11127,732710,1,2025-03-20
11127,732652,1,2025-03-20
11127,732666,1,2025-03-20
11127,732642,1,2025-03-20
11127,732699,1,2025-03-20
11127,732708,1,2025-03-20
11127,732675,1,2025-03-20
11127,732673,1,2025-03-20
11127,732697,1,2025-03-20
11127,732685,1,2025-03-20
11127,732704,1,2025-03-20
11127,732631,1,2025-03-20
11127,732629,1,2025-03-20
11127,732627,1,2025-03-20
11127,732632,1,2025-03-20
11127,732639,1,2025-03-20
11127,732705,1,2025-03-20
11127,732628,1,2025-03-20
11127,732668,1,2025-03-20
11127,732677,1,2025-03-20
11127,732672,1,2025-03-20
11127,732693,1,2025-03-20
11127,732664,1,2025-03-20
11127,732696,1,2025-03-20
11127,732683,1,2025-03-20
11127,732634,1,2025-03-20
11127,732643,1,2025-03-20
11127,732649,1,2025-03-20
11127,732671,1,2025-03-20
11127,732615,1,2025-03-20
11127,732656,1,2025-03-20
11127,732647,1,2025-03-20
11127,732689,1,2025-03-20
11127,732645,1,2025-03-20
11127,732711,1,2025-03-20
11127,732700,1,2025-03-20
11127,732680,1,2025-03-20
11127,732669,1,2025-03-20
11127,732691,1,2025-03-20
10767,731957,1,2025-03-20
10767,732038,1,2025-03-20
10767,731900,1,2025-03-20
10767,731886,1,2025-03-20
10767,731958,1,2025-03-20
10767,731880,1,2025-03-20
10767,731963,1,2025-03-20
10767,731932,1,2025-03-20
10767,731944,1,2025-03-20
10767,731917,1,2025-03-20
10767,731858,1,2025-03-20
10767,731856,1,2025-03-20
10767,731881,1,2025-03-20
10767,731997,1,2025-03-20
10767,731965,1,2025-03-20
10767,732027,1,2025-03-20
10767,731882,1,2025-03-20
10767,731981,1,2025-03-20
10767,731898,1,2025-03-20
10767,731887,1,2025-03-20
10767,731896,1,2025-03-20
10767,731865,1,2025-03-20
10767,731954,1,2025-03-20
10767,731927,1,2025-03-20
10767,731907,1,2025-03-20
10767,731854,1,2025-03-20
10767,731870,1,2025-03-20
10767,731860,1,2025-03-20
10767,731873,1,2025-03-20
10767,731875,1,2025-03-20
10767,731946,1,2025-03-20
10767,731905,1,2025-03-20
10767,731862,1,2025-03-20
10767,731853,1,2025-03-20
10767,731871,1,2025-03-20
10767,731857,1,2025-03-20
10767,731888,1,2025-03-20
10767,731867,1,2025-03-20
10767,731872,1,2025-03-20
10767,731934,1,2025-03-20
10767,731951,1,2025-03-20
10767,731971,1,2025-03-20
10767,731979,1,2025-03-20
10767,731890,1,2025-03-20
10767,731956,1,2025-03-20
10767,731891,1,2025-03-20
10767,731908,1,2025-03-20
10767,731910,1,2025-03-20
10767,731861,1,2025-03-20
10767,731929,1,2025-03-20
10767,731933,1,2025-03-20
10767,731961,1,2025-03-20
10767,731928,1,2025-03-20
10767,731913,1,2025-03-20
10767,731894,1,2025-03-20
10767,731877,1,2025-03-20
10767,731921,1,2025-03-20
10767,731962,1,2025-03-20
10767,731869,1,2025-03-20
10767,731967,1,2025-03-20
10767,732006,1,2025-03-20
10767,732018,1,2025-03-20
10767,731864,1,2025-03-20
10767,731904,1,2025-03-20
10767,731940,1,2025-03-20
10767,732010,1,2025-03-20
10767,731983,1,2025-03-20
10767,732014,1,2025-03-20
10767,731892,1,2025-03-20
10767,731911,1,2025-03-20
10767,732046,1,2025-03-20
10767,732001,1,2025-03-20
10767,731980,1,2025-03-20
10767,732037,1,2025-03-20
10767,732028,1,2025-03-20
10767,732002,1,2025-03-20
10767,731850,1,2025-03-20
10767,731895,1,2025-03-20
10767,731930,1,2025-03-20
10767,732004,1,2025-03-20
10767,731986,1,2025-03-20
10767,732040,1,2025-03-20
10767,731982,1,2025-03-20
10767,731909,1,2025-03-20
10767,731893,1,2025-03-20
10767,731924,1,2025-03-20
10767,731922,1,2025-03-20
10767,731878,1,2025-03-20
