event_id,event_name,match_id
19885,"ADCC US Open - Portland, OR",10432735
19885,"ADCC US Open - Portland, OR",10433206
19885,"ADCC US Open - Portland, OR",10431911
19885,"ADCC US Open - Portland, OR",10432718
19885,"ADCC US Open - Portland, OR",10431653
19885,"ADCC US Open - Portland, OR",10448832
19885,"ADCC US Open - Portland, OR",10432796
19885,"ADCC US Open - Portland, OR",10433189
19885,"ADCC US Open - Portland, OR",10446860
19885,"ADCC US Open - Portland, OR",10432954
19885,"ADCC US Open - Portland, OR",10445773
19885,"ADCC US Open - Portland, OR",10432831
19885,"ADCC US Open - Portland, OR",10432737
19885,"ADCC US Open - Portland, OR",10431654
19885,"ADCC US Open - Portland, OR",10432970
19885,"ADCC US Open - Portland, OR",10432986
19885,"ADCC US Open - Portland, OR",10433207
19885,"ADCC US Open - Portland, OR",10431626
19885,"ADCC US Open - Portland, OR",10446861
19885,"ADCC US Open - Portland, OR",10445745
19885,"ADCC US Open - Portland, OR",10431912
19885,"ADCC US Open - Portland, OR",10446862
19885,"ADCC US Open - Portland, OR",10432729
19885,"ADCC US Open - Portland, OR",10432871
19885,"ADCC US Open - Portland, OR",10432955
19885,"ADCC US Open - Portland, OR",10448696
19885,"ADCC US Open - Portland, OR",10432783
19885,"ADCC US Open - Portland, OR",10432766
19885,"ADCC US Open - Portland, OR",10433190
19885,"ADCC US Open - Portland, OR",10448827
19885,"ADCC US Open - Portland, OR",10432686
19885,"ADCC US Open - Portland, OR",10431657
19885,"ADCC US Open - Portland, OR",10435438
19885,"ADCC US Open - Portland, OR",10431738
19885,"ADCC US Open - Portland, OR",10432724
19885,"ADCC US Open - Portland, OR",10433208
19885,"ADCC US Open - Portland, OR",10446863
19885,"ADCC US Open - Portland, OR",10432867
19885,"ADCC US Open - Portland, OR",10432670
19885,"ADCC US Open - Portland, OR",10431325
19885,"ADCC US Open - Portland, OR",10432956
19885,"ADCC US Open - Portland, OR",10448697
19885,"ADCC US Open - Portland, OR",10431913
19885,"ADCC US Open - Portland, OR",10432690
19885,"ADCC US Open - Portland, OR",10435439
19885,"ADCC US Open - Portland, OR",10435595
19885,"ADCC US Open - Portland, OR",10432993
19885,"ADCC US Open - Portland, OR",10432957
19885,"ADCC US Open - Portland, OR",10431627
19885,"ADCC US Open - Portland, OR",10431658
19885,"ADCC US Open - Portland, OR",10447762
19885,"ADCC US Open - Portland, OR",10446873
19885,"ADCC US Open - Portland, OR",10432872
19885,"ADCC US Open - Portland, OR",10433251
19885,"ADCC US Open - Portland, OR",10432219
19885,"ADCC US Open - Portland, OR",10432691
19885,"ADCC US Open - Portland, OR",10433275
19885,"ADCC US Open - Portland, OR",10446871
19885,"ADCC US Open - Portland, OR",10431739
19885,"ADCC US Open - Portland, OR",10432960
19885,"ADCC US Open - Portland, OR",10432674
19885,"ADCC US Open - Portland, OR",10432987
19885,"ADCC US Open - Portland, OR",10431623
19885,"ADCC US Open - Portland, OR",10432994
19885,"ADCC US Open - Portland, OR",10433276
19885,"ADCC US Open - Portland, OR",10432736
19885,"ADCC US Open - Portland, OR",10432768
19885,"ADCC US Open - Portland, OR",10432728
19885,"ADCC US Open - Portland, OR",10447764
19885,"ADCC US Open - Portland, OR",10433211
19885,"ADCC US Open - Portland, OR",10431659
19885,"ADCC US Open - Portland, OR",10433252
19885,"ADCC US Open - Portland, OR",10431326
19885,"ADCC US Open - Portland, OR",10435596
19885,"ADCC US Open - Portland, OR",10432959
19885,"ADCC US Open - Portland, OR",10432191
19885,"ADCC US Open - Portland, OR",10432692
19885,"ADCC US Open - Portland, OR",10446821
19885,"ADCC US Open - Portland, OR",10432673
19885,"ADCC US Open - Portland, OR",10431660
19885,"ADCC US Open - Portland, OR",10433212
19885,"ADCC US Open - Portland, OR",10432976
19885,"ADCC US Open - Portland, OR",10431303
19885,"ADCC US Open - Portland, OR",10432902
19885,"ADCC US Open - Portland, OR",10432961
19885,"ADCC US Open - Portland, OR",10432192
19885,"ADCC US Open - Portland, OR",10435434
19885,"ADCC US Open - Portland, OR",10431908
19885,"ADCC US Open - Portland, OR",10432738
19885,"ADCC US Open - Portland, OR",10431629
19885,"ADCC US Open - Portland, OR",10431624
19885,"ADCC US Open - Portland, OR",10447765
19885,"ADCC US Open - Portland, OR",10446823
19885,"ADCC US Open - Portland, OR",10432678
19885,"ADCC US Open - Portland, OR",10432194
19885,"ADCC US Open - Portland, OR",10446874
19885,"ADCC US Open - Portland, OR",10432763
19885,"ADCC US Open - Portland, OR",10432220
19885,"ADCC US Open - Portland, OR",10432195
19885,"ADCC US Open - Portland, OR",10448757
19885,"ADCC US Open - Portland, OR",10432879
19885,"ADCC US Open - Portland, OR",10431327
19885,"ADCC US Open - Portland, OR",10446677
19885,"ADCC US Open - Portland, OR",10432977
19885,"ADCC US Open - Portland, OR",10433277
19885,"ADCC US Open - Portland, OR",10432740
19885,"ADCC US Open - Portland, OR",10432880
19885,"ADCC US Open - Portland, OR",10431322
19885,"ADCC US Open - Portland, OR",10432200
19885,"ADCC US Open - Portland, OR",10432962
19885,"ADCC US Open - Portland, OR",10433213
19885,"ADCC US Open - Portland, OR",10431655
19885,"ADCC US Open - Portland, OR",10432730
19885,"ADCC US Open - Portland, OR",10432675
19885,"ADCC US Open - Portland, OR",10448758
19885,"ADCC US Open - Portland, OR",10432958
19885,"ADCC US Open - Portland, OR",10432199
19885,"ADCC US Open - Portland, OR",10432731
19885,"ADCC US Open - Portland, OR",10447766
19885,"ADCC US Open - Portland, OR",10433209
19885,"ADCC US Open - Portland, OR",10432741
