Fighter ID,First Name,Last Name,Nickname,Team,Profile URL
1799,Leandro,Martins,Leu,Checkmat,https://www.bjjheroes.com/?p=1799
1662,Leandro,Nyza,,Nova Uniao,https://www.bjjheroes.com/?p=1662
12243,Leon,Brito,,BTT,https://www.bjjheroes.com/?p=12243
11132,Leon,Larman,,CTA,https://www.bjjheroes.com/?p=11132
9014,Levi,Jones-Leary,"Xanadu, Levizao",Unity JJ,https://www.bjjheroes.com/?p=9014
7981,Livia,Gluchowska,,Maromba,https://www.bjjheroes.com/?p=7981
9044,Livio,Ribeiro,Galinho,Ares JJ,https://www.bjjheroes.com/?p=9044
7082,Luca,Anacoreta,,Aeterna Jiu Jitsu,https://www.bjjheroes.com/?p=7082
10780,Laurah,Hallock,,GF Team,https://www.bjjheroes.com/?p=10780
1624,Leonardo,Arruda,,Guigo JJ,https://www.bjjheroes.com/?p=1624
935,Leonardo,Castello Branco,,Brasa,https://www.bjjheroes.com/?p=935
3443,Leonardo,Davila,,Atos,https://www.bjjheroes.com/?p=3443
9067,Leonardo,Lara,,Almeida JJ / Atos,https://www.bjjheroes.com/?p=9067
886,Leonardo,Leite,,Alliance,https://www.bjjheroes.com/?p=886
1272,Leonardo,Nogueira,,Alliance,https://www.bjjheroes.com/?p=1272
13062,Leonardo,Mario,,PSLPB Cicero Costha,https://www.bjjheroes.com/?p=13062
10339,Leonardo,Pecanha,,,https://www.bjjheroes.com/?p=10339
8231,Leonardo,Saggioro,Cascao,BTT,https://www.bjjheroes.com/?p=8231
292,Leonardo,Santos,,Nova Uniao,https://www.bjjheroes.com/?p=292
10352,Leonardo,Silva,,GF Team,https://www.bjjheroes.com/?p=10352
419,Leonardo,Vieira,Leozinho,Checkmat,https://www.bjjheroes.com/?p=419
903,Leticia,Ribeiro,,Gracie Humaita,https://www.bjjheroes.com/?p=903
1307,Lloyd,Irvin,,Lloyd Irvin,https://www.bjjheroes.com/?p=1307
512,Luana,Alzuguir,,Alliance,https://www.bjjheroes.com/?p=512
12323,Luan,Andrei,,R1ng,https://www.bjjheroes.com/?p=12323
10741,Luan,Azevedo,,PSLPB,https://www.bjjheroes.com/?p=10741
5078,Luan,Carvalho,,Nova Uniao,https://www.bjjheroes.com/?p=5078
1419,Louie,Cercedez,,Ronin BJJ,https://www.bjjheroes.com/?p=1419
10669,Lucas,Alves,,Alliance,https://www.bjjheroes.com/?p=10669
11658,Lucas,Gualberto,Simba,Dream Art,https://www.bjjheroes.com/?p=11658
358,Lucas,Lepri,,Alliance,https://www.bjjheroes.com/?p=358
13432,Luccas,Lira,,,https://www.bjjheroes.com/?p=13432
875,Lucas,Leite,,Checkmat,https://www.bjjheroes.com/?p=875
13031,Lucas,Lisboa,,Fight Sports,https://www.bjjheroes.com/?p=13031
5660,Lucas,Rocha,,ZR Team,https://www.bjjheroes.com/?p=5660
5655,Lucas,Daniel Barbosa,Hulk,Atos,https://www.bjjheroes.com/?p=5655
6043,Lucas,Pinheiro,Bad Boy,Checkmat,https://www.bjjheroes.com/?p=6043
12348,Lucas,Protasio,,Checkmat,https://www.bjjheroes.com/?p=12348
13093,Lucas,Rodrigues,,,https://www.bjjheroes.com/?p=13093
12267,Lucas,Norat,,Gracie Barra,https://www.bjjheroes.com/?p=12267
8516,Lucas,Valente,,Gracie Barra,https://www.bjjheroes.com/?p=8516
11812,Lucas,Sachs,,,https://www.bjjheroes.com/?p=11812
13269,Lucas,Souza,Foguinho,Atos,https://www.bjjheroes.com/?p=13269
11512,Lucas,Silva,Lukete,Cassao Team / Gracie Barra,https://www.bjjheroes.com/?p=11512
11701,Luciano,Nucci,Casquinha,Alliance,https://www.bjjheroes.com/?p=11701
1263,Lucio,Rodrigues,Lagarto,Gracie Barra,https://www.bjjheroes.com/?p=1263
809,Luis Carlos,Dias,Manimal,Manimal,https://www.bjjheroes.com/?p=809
3245,Luis,Heredia,Limao,Maui Jiu Jitsu,https://www.bjjheroes.com/?p=3245
1395,Luis,Lima,Guga,,https://www.bjjheroes.com/?p=1395
1675,Luis Roberto,Duarte,Bebeo,Brazilian Top Team,https://www.bjjheroes.com/?p=1675
10403,Luis,Marques,,,https://www.bjjheroes.com/?p=10403
13053,Luis,Oliveira,Cantareira,Frates JJ,https://www.bjjheroes.com/?p=13053
1722,Luis,Roman,,,https://www.bjjheroes.com/?p=1722
2560,Luiz,Dias,,GAS,https://www.bjjheroes.com/?p=2560
2443,Luiz,Franca,,,https://www.bjjheroes.com/?p=2443
693,Luiz,Guilherme,Guigo,Guigo JJ,https://www.bjjheroes.com/?p=693
1426,Luiz,Abdo,Tom,,https://www.bjjheroes.com/?p=1426
2404,Luiz,Ribeiro,Manxinha,Checkmat,https://www.bjjheroes.com/?p=2404
3122,Luiz,Panza,,Barbosa JJ,https://www.bjjheroes.com/?p=3122
11872,Luiz,Paulo,,,https://www.bjjheroes.com/?p=11872
5263,Luiza,Monteiro,,Atos,https://www.bjjheroes.com/?p=5263
2627,Luzia,Fernandes,,Gracie Barra,https://www.bjjheroes.com/?p=2627
13733,Luke,Griffith,,New Wave,https://www.bjjheroes.com/?p=13733
13902,Luke,Harris,,Hayabusa TC,https://www.bjjheroes.com/?p=13902
2444,Mackenzie,Dern,,Gracie Humaita,https://www.bjjheroes.com/?p=2444
10895,Maggie,Grindatti,,Fight Sports,https://www.bjjheroes.com/?p=10895
10155,Malachi,Edmond,,Team Lloyd Irvin,https://www.bjjheroes.com/?p=10155
7543,Manuel,Pontes,Nelton,Gracie Barra,https://www.bjjheroes.com/?p=7543
12544,Mateus,Rodrigues,,AOJ,https://www.bjjheroes.com/?p=12544
13916,Mateusz,Szczecinski,,,https://www.bjjheroes.com/?p=13916
8112,Matheus,Costa,,GF Team,https://www.bjjheroes.com/?p=8112
5423,Matheus,Diniz,Gorilla,Alliance,https://www.bjjheroes.com/?p=5423
9230,Matheus,Felipe,Ta Danado,Checkmat,https://www.bjjheroes.com/?p=9230
9002,Matheus,Gabriel Barros,,Checkmat,https://www.bjjheroes.com/?p=9002
10698,Matheus,Godoy,,Alliance,https://www.bjjheroes.com/?p=10698
8800,Matheus,Gonzaga,,,https://www.bjjheroes.com/?p=8800
7047,Matheus,Spirandeli,,,https://www.bjjheroes.com/?p=7047
13111,Matheus,Lima,,White House JJS,https://www.bjjheroes.com/?p=13111
10658,Matheus,Luna,,Checkmat,https://www.bjjheroes.com/?p=10658
10909,Matheus,Lutes,,Alliance,https://www.bjjheroes.com/?p=10909
13438,Matheus,Menezes,Teteu,Atos,https://www.bjjheroes.com/?p=13438
12689,Matias,Estevez,,,https://www.bjjheroes.com/?p=12689
8729,Matthew,Leighton,,Bonsai,https://www.bjjheroes.com/?p=8729
2322,Marc,Laimon,,Cobra Kai,https://www.bjjheroes.com/?p=2322
1382,Marcel,Louzado,,,https://www.bjjheroes.com/?p=1382
570,Marcelino,Freitas,Telino,Nova Uniao,https://www.bjjheroes.com/?p=570
2985,Marcelo,Azevedo,Uirapuru,Gracie Barra,https://www.bjjheroes.com/?p=2985
739,Marcelo,Behring,,,https://www.bjjheroes.com/?p=739
8361,Marcelo,Cohen,,The Armoury,https://www.bjjheroes.com/?p=8361
8361,Marcelo,Fausto,,Checkmat,https://www.bjjheroes.com/?p=8361
16,Marcelo,Garcia,Marcelinho,Alliance,https://www.bjjheroes.com/?p=16
10644,Marcelo,Gomide,,Gracie Barra,https://www.bjjheroes.com/?p=10644
10405,Marcelo,Nunes,,Zenith JJ,https://www.bjjheroes.com/?p=10405
1090,Marcelo,Machado,,Gracie Humaita,https://www.bjjheroes.com/?p=1090
9706,Marcelo,Mafra,Lapela,Checkmat,https://www.bjjheroes.com/?p=9706
8337,Marcelo,Martins,Capo,Checkmat,https://www.bjjheroes.com/?p=8337
1253,Marcelo,Ribeiro,,Gracie Barra,https://www.bjjheroes.com/?p=1253
13628,Marcelo,Pereira,,,https://www.bjjheroes.com/?p=13628
205,Marcelo,Salazar,,,https://www.bjjheroes.com/?p=205
943,Marcelo,Saporito,,Carlson Gracie,https://www.bjjheroes.com/?p=943
4163,Marcio Andre,Barbosa Junior,,Nova Uniao,https://www.bjjheroes.com/?p=4163
9,Marcio,Cruz,Pé de Pano,,https://www.bjjheroes.com/?p=9
3099,Marcio,Corleta,,Winner BJJ,https://www.bjjheroes.com/?p=3099
4135,Marcio,dos Santos,,Carlson Gracie,https://www.bjjheroes.com/?p=4135
687,Marcio,Feitosa,,Gracie Barra,https://www.bjjheroes.com/?p=687
3090,Marcio,Stambowsky,Macarrao,,https://www.bjjheroes.com/?p=3090
492,Marco,Barbosa,"Barba, Barbosinha",Barbosa,https://www.bjjheroes.com/?p=492
405,Marco,Canha,Xassi,Checkmat,https://www.bjjheroes.com/?p=405
1218,Marco,Vilella,Gigante,,https://www.bjjheroes.com/?p=1218
1161,Marcos,Barreto,,,https://www.bjjheroes.com/?p=1161
1182,Marcos,da Matta,Parrumpinha,American Top Team,https://www.bjjheroes.com/?p=1182
1124,Marcos,Escobar,,,https://www.bjjheroes.com/?p=1124
617,Marcos,Cerqueira,,,https://www.bjjheroes.com/?p=617
1848,Marcos,de Souza,,Bonsai,https://www.bjjheroes.com/?p=1848
2385,Marcos,Galvao,Loro,Nova Uniao,https://www.bjjheroes.com/?p=2385
9573,Marcos,Martins,Petcho,B9,https://www.bjjheroes.com/?p=9573
